step,eta_Pa_s
2880000,5.542861533333e-03
2900000,5.580229733333e-03
2920000,5.552302700000e-03
2940000,5.501745000000e-03
2960000,5.554695966667e-03
2980000,5.589078333333e-03
3000000,5.572641033333e-03
3020000,5.538814033333e-03
3040000,5.514219900000e-03
3060000,5.508270933333e-03
3080000,5.552067433333e-03
3100000,5.591083100000e-03
3120000,5.552131833333e-03
3140000,5.554411200000e-03
3160000,5.531271700000e-03
3180000,5.558791666667e-03
3200000,5.533757200000e-03
3220000,5.539966166667e-03
3240000,5.490827600000e-03
3260000,5.484311266667e-03
3280000,5.477412700000e-03
3300000,5.477052900000e-03
3320000,5.534195866667e-03
3340000,5.522207233333e-03
3360000,5.554849900000e-03
3380000,5.561217533333e-03
3400000,5.513371600000e-03
3420000,5.502577366667e-03
3440000,5.547714233333e-03
3460000,5.516661166667e-03
3480000,5.610883533333e-03
3500000,5.581389633333e-03
3520000,5.566302600000e-03
3540000,5.603385200000e-03
3560000,5.591785200000e-03
3580000,5.569350833333e-03
3600000,5.559868466667e-03
3620000,5.556329000000e-03
3640000,5.588944366667e-03
3660000,5.580299933333e-03
3680000,5.665841966667e-03
3700000,5.641596900000e-03
3720000,5.626332800000e-03
3740000,5.641711633333e-03
3760000,5.651461766667e-03
3780000,5.602076000000e-03
3800000,5.574749466667e-03
3820000,5.568335200000e-03
3840000,5.540125300000e-03
3860000,5.543488433333e-03
3880000,5.589191666667e-03
3900000,5.616713866667e-03
3920000,5.581571133333e-03
3940000,5.562546400000e-03
3960000,5.595594400000e-03
3980000,5.572480466667e-03
4000000,5.573392700000e-03
4020000,5.543208033333e-03
4040000,5.544225700000e-03
4060000,5.506584966667e-03
4080000,5.496246466667e-03
4100000,5.491905233333e-03
4120000,5.513446033333e-03
4140000,5.517018333333e-03
4160000,5.662587700000e-03
4180000,5.714772866667e-03
4200000,5.700375700000e-03
4220000,5.662731900000e-03
4240000,5.667066366667e-03
4260000,5.727347900000e-03
4280000,5.692110333333e-03
4300000,5.671892600000e-03
4320000,5.666146966667e-03
4340000,5.628876100000e-03
4360000,5.607765033333e-03
4380000,5.610846333333e-03
4400000,5.630067500000e-03
4420000,5.588577933333e-03
4440000,5.598206933333e-03
4460000,5.571471166667e-03
4480000,5.568657366667e-03
4500000,5.548977866667e-03
4520000,5.537570066667e-03
4540000,5.547912900000e-03
4560000,5.497291366667e-03
4580000,5.495068133333e-03
4600000,5.538549600000e-03
4620000,5.531875600000e-03
4640000,5.535211400000e-03
4660000,5.551999366667e-03
4680000,5.520222800000e-03
4700000,5.482541533333e-03
4720000,5.468328900000e-03
4740000,5.473054733333e-03
4760000,5.444881566667e-03
4780000,5.446025133333e-03
4800000,5.422138700000e-03
4820000,5.426878266667e-03
4840000,5.470983633333e-03
4860000,5.447264033333e-03
4880000,5.434213966667e-03
4900000,5.417641533333e-03
4920000,5.383983566667e-03
4940000,5.403946566667e-03
4960000,5.446438366667e-03
4980000,5.460495700000e-03
5000000,5.489048866667e-03
